date,time,srcIP,distIP,port,flow
2016-4-1,0:47:12,202.120.0.8,202.120.0.9,80,404
2016-4-1,0:47:12,202.120.2.1,202.120.0.20,80,381
2016-4-1,0:47:12,202.120.0.8,202.120.0.9,80,1897
2016-4-1,0:47:21,202.120.0.37,202.120.0.38,80,3942
2016-4-1,0:47:21,202.120.8.18,202.120.8.17,80,15412
2016-4-1,0:47:21,202.120.0.37,202.120.0.38,80,492
2016-4-1,0:47:21,202.120.0.37,202.120.0.38,80,2156
2016-4-1,0:47:29,202.120.1.21,202.120.0.39,80,429
2016-4-1,0:47:30,202.120.8.18,202.120.8.17,80,174146
2016-4-1,0:48:06,202.120.5.10,202.120.0.11,80,2027
2016-4-1,0:48:06,202.120.6.3,202.120.0.11,80,2027
2016-4-1,0:48:06,202.120.5.26,202.120.0.3,80,1809
2016-4-1,0:48:06,202.120.4.10,202.120.0.3,80,1749
2016-4-1,0:48:06,202.120.6.4,202.120.0.35,80,2105
2016-4-1,0:48:06,202.120.5.26,202.120.0.35,80,1977
2016-4-1,0:48:06,202.120.1.20,202.120.0.3,80,1967
2016-4-1,0:48:06,202.120.5.42,202.120.0.11,80,2027
2016-4-1,0:48:10,202.120.0.8,202.120.0.21,80,3673
2016-4-1,0:48:10,202.120.0.34,202.120.0.20,80,3729
2016-4-1,0:48:10,202.120.0.8,202.120.0.19,80,3669
2016-4-1,0:48:10,202.120.2.27,202.120.0.11,80,3247
2016-4-1,0:48:10,202.120.0.8,202.120.0.19,80,3129
2016-4-1,0:48:10,202.120.4.10,202.120.0.11,80,3253
2016-4-1,0:48:10,202.120.0.8,202.120.0.21,80,404
2016-4-1,0:48:10,202.120.0.27,202.120.6.8,80,15671
2016-4-1,0:48:10,202.120.0.8,202.120.0.3,80,3674
2016-4-1,0:48:10,202.120.0.15,202.120.6.27,80,57289
2016-4-1,0:48:10,202.120.4.10,202.120.0.11,80,1771
2016-4-1,0:48:10,202.120.0.8,202.120.0.19,80,1887
2016-4-1,0:48:10,202.120.2.27,202.120.0.11,80,2027
2016-4-1,0:48:10,202.120.0.8,202.120.0.21,80,1891
2016-4-1,0:48:10,202.120.0.8,202.120.0.19,80,404
2016-4-1,0:48:10,202.120.5.41,202.120.4.9,80,1916
2016-4-1,0:48:10,202.120.2.19,202.120.0.11,80,2027
2016-4-1,0:48:10,202.120.2.19,202.120.0.11,80,3247
2016-4-1,0:48:10,202.120.5.26,202.120.0.11,80,292
2016-4-1,0:48:20,202.120.0.36,202.120.0.20,80,201
2016-4-1,0:48:20,202.120.8.21,202.120.8.22,80,68
2016-4-1,0:48:20,202.120.0.36,202.120.0.20,80,241
2016-4-1,0:48:20,202.120.1.20,202.120.0.3,80,1564
2016-4-1,0:48:20,202.120.1.14,202.120.0.33,80,241
2016-4-1,0:48:30,202.120.2.13,202.120.1.30,80,576
2016-4-1,0:48:50,202.120.0.15,202.120.6.27,80,23521
2016-4-1,0:48:59,202.120.6.2,202.120.0.38,80,3290
2016-4-1,0:49:00,202.120.2.26,202.120.0.3,80,241
2016-4-1,0:49:00,202.120.2.38,202.120.0.20,80,2893
2016-4-1,0:49:00,202.120.1.18,202.120.0.19,80,2893
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,448
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,3181
2016-4-1,0:49:00,202.120.0.23,202.120.0.35,80,201
2016-4-1,0:49:00,202.120.0.8,202.120.0.35,80,255
2016-4-1,0:49:00,202.120.0.30,202.120.0.35,80,352
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,1799
2016-4-1,0:49:00,202.120.4.0,202.120.0.11,80,1799
2016-4-1,0:49:00,202.120.0.23,202.120.0.35,80,241
2016-4-1,0:49:00,202.120.0.30,202.120.0.35,80,1037
2016-4-1,0:49:00,202.120.3.26,202.120.0.11,80,1911
2016-4-1,0:49:00,202.120.0.36,202.120.0.3,80,1899
2016-4-1,0:49:00,202.120.1.18,202.120.0.11,80,1799
2016-4-1,0:49:00,202.120.4.0,202.120.0.11,80,3181
2016-4-1,0:49:00,202.120.4.0,202.120.0.11,80,1803
2016-4-1,0:49:00,202.120.3.42,202.120.0.26,80,1154
2016-4-1,0:49:00,202.120.4.0,202.120.0.11,80,3484
2016-4-1,0:49:00,202.120.4.0,202.120.0.11,80,2861
2016-4-1,0:49:00,202.120.4.0,202.120.0.11,80,292
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,641
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,3484
2016-4-1,0:49:00,202.120.0.30,202.120.0.20,80,2632
2016-4-1,0:49:00,202.120.2.22,202.120.1.9,80,1917
2016-4-1,0:49:00,202.120.0.30,202.120.0.35,80,3514
2016-4-1,0:49:00,202.120.0.30,202.120.0.20,80,2632
2016-4-1,0:49:00,202.120.0.30,202.120.0.35,80,1444
2016-4-1,0:49:00,202.120.0.30,202.120.0.3,80,2632
2016-4-1,0:49:00,202.120.0.30,202.120.0.3,80,2632
2016-4-1,0:49:00,202.120.0.30,202.120.0.3,80,2632
2016-4-1,0:49:00,202.120.0.30,202.120.0.3,80,2631
2016-4-1,0:49:00,202.120.0.36,202.120.0.3,80,3241
2016-4-1,0:49:00,202.120.2.33,202.120.0.11,80,2027
2016-4-1,0:49:00,202.120.4.0,202.120.0.24,80,2893
2016-4-1,0:49:00,202.120.2.26,202.120.0.20,80,241
2016-4-1,0:49:00,202.120.2.24,202.120.0.11,80,1830
2016-4-1,0:49:00,202.120.2.24,202.120.0.11,80,404
2016-4-1,0:49:00,202.120.3.26,202.120.0.20,80,1633
2016-4-1,0:49:00,202.120.1.18,202.120.0.11,80,1803
2016-4-1,0:49:00,202.120.8.23,202.120.0.11,80,208
2016-4-1,0:49:00,202.120.3.26,202.120.0.11,80,3253
2016-4-1,0:49:00,202.120.1.18,202.120.0.11,80,2861
2016-4-1,0:49:00,202.120.1.18,202.120.0.11,80,3484
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,1803
2016-4-1,0:49:00,202.120.1.18,202.120.0.11,80,641
2016-4-1,0:49:00,202.120.2.38,202.120.0.11,80,2861
2016-4-1,0:49:00,202.120.1.18,202.120.0.11,80,3181
2016-4-1,0:49:04,202.120.6.2,202.120.0.39,80,3293
2016-4-1,0:49:10,202.120.6.2,202.120.0.38,80,2040
2016-4-1,0:49:10,202.120.6.2,202.120.0.42,80,492
2016-4-1,0:49:10,202.120.6.2,202.120.1.0,80,492
2016-4-1,0:49:10,202.120.6.2,202.120.0.42,80,2040
2016-4-1,0:49:10,202.120.6.2,202.120.1.0,80,2048
2016-4-1,0:49:10,202.120.6.2,202.120.0.38,80,3866
2016-4-1,0:49:10,202.120.1.29,202.120.6.1,80,1737
2016-4-1,0:49:10,202.120.6.2,202.120.0.38,80,492
2016-4-1,0:49:10,202.120.1.29,202.120.6.1,80,1795
2016-4-1,0:49:19,202.120.6.2,202.120.1.1,80,492
2016-4-1,0:49:19,202.120.6.2,202.120.1.1,80,2048
2016-4-1,0:49:22,202.120.6.2,202.120.0.39,80,2048
2016-4-1,0:49:22,202.120.6.2,202.120.0.39,80,492
2016-4-1,0:49:22,202.120.6.2,202.120.0.39,80,3874
2016-4-1,0:49:23,202.120.0.30,202.120.0.31,80,76
2016-4-1,0:49:23,202.120.3.22,202.120.0.11,80,213
2016-4-1,0:49:23,202.120.1.42,202.120.0.33,80,236
2016-4-1,0:49:23,202.120.1.42,202.120.0.33,80,256
2016-4-1,0:49:23,202.120.3.22,202.120.8.24,80,484
2016-4-1,0:49:49,202.120.1.21,202.120.0.39,80,429
2016-4-1,0:49:50,202.120.0.4,202.120.0.1,80,4628
2016-4-1,0:50:04,202.120.6.22,202.120.0.19,80,4743
2016-4-1,0:50:04,202.120.0.30,202.120.0.31,80,1960
2016-4-1,0:50:04,202.120.3.0,202.120.0.11,80,2027
2016-4-1,0:50:04,202.120.3.0,202.120.0.11,80,3329
2016-4-1,0:50:04,202.120.1.41,202.120.0.33,80,186
2016-4-1,0:50:04,202.120.1.41,202.120.0.33,80,146
2016-4-1,0:50:04,202.120.1.42,202.120.0.33,80,474
2016-4-1,0:50:04,202.120.3.3,202.120.0.11,80,1979
2016-4-1,0:50:04,202.120.3.2,202.120.0.11,80,3329
2016-4-1,0:50:04,202.120.0.34,202.120.0.20,80,2794
2016-4-1,0:50:04,202.120.3.2,202.120.0.11,80,2027
2016-4-1,0:50:04,202.120.6.22,202.120.0.19,80,2893
2016-4-1,0:50:04,202.120.8.25,202.120.8.13,80,256
2016-4-1,0:50:04,202.120.3.1,202.120.0.11,80,2027
2016-4-1,0:50:04,202.120.3.1,202.120.0.11,80,3329
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,483
2016-4-1,0:50:04,202.120.0.30,202.120.0.20,80,2680
2016-4-1,0:50:04,202.120.0.30,202.120.0.20,80,2680
2016-4-1,0:50:04,202.120.0.30,202.120.0.20,80,2680
2016-4-1,0:50:04,202.120.0.30,202.120.0.20,80,2680
2016-4-1,0:50:04,202.120.0.15,202.120.6.27,80,61691
2016-4-1,0:50:04,202.120.5.42,202.120.0.9,80,2899
2016-4-1,0:50:04,202.120.1.42,202.120.0.33,80,160
2016-4-1,0:50:04,202.120.3.3,202.120.0.11,80,3281
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,445
2016-4-1,0:50:04,202.120.0.30,202.120.0.20,80,448
2016-4-1,0:50:04,202.120.0.36,202.120.0.3,80,136
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,1072
2016-4-1,0:50:04,202.120.3.22,202.120.0.31,80,1820
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,483
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,483
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,483
2016-4-1,0:50:04,202.120.0.30,202.120.0.35,80,483
2016-4-1,0:50:04,202.120.8.25,202.120.8.13,80,236
2016-4-1,0:50:04,202.120.6.22,202.120.0.11,80,1799
2016-4-1,0:50:04,202.120.2.35,202.120.0.11,80,1887
2016-4-1,0:50:04,202.120.3.7,202.120.0.20,80,2015
2016-4-1,0:50:04,202.120.3.5,202.120.0.11,80,2007
2016-4-1,0:50:04,202.120.5.42,202.120.0.11,80,1799
2016-4-1,0:50:24,202.120.5.29,202.120.0.21,80,241
2016-4-1,0:50:25,202.120.0.8,202.120.0.20,80,3674
2016-4-1,0:50:25,202.120.0.8,202.120.0.35,80,1540
2016-4-1,0:50:33,202.120.2.13,202.120.1.30,80,894551
2016-4-1,0:50:54,202.120.3.42,202.120.0.33,80,316
